normal,/data/all/data/qooxdoo/qooxdoo,0.46,18,115,27-01-2022_18-44-08,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/elastic/kibana,0.45,17,51,27-01-2022_18-47-06,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/emberjs/ember.js,0.51,11,47,27-01-2022_18-49-21,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/zloirock/core-js,0.37,8,41,27-01-2022_18-51-33,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,27-01-2022_18-53-43,t5-large,/scratch/arminz/training/t5-lar/data/all/data/qooxdoo/qooxdooge_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/sequelize/sequelize,0.38,12,40,27-01-2022_18-55-58,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/dcos/dcos-ui,0.65,9,37,27-01-2022_18-58-04,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/LivelyKernel/LivelyKernel,0.64,12,36,27-01-2022_18-59-43,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/svgdotjs/svg.js,0.10,5,31,27-01-2022_19-01-55,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/foam-framework/foam,0.36,13,33,27-01-2022_19-03-50,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,all,0.40,48,3374,27-01-2022_18-31-58,t5-large,/scratch/arminz/training/t5-large_global_repo-based_25-01-2022_10-31-49/checkpoint-218825
normal,/data/all/data/qooxdoo/qooxdoo,0.58,18,115,28-01-2022_10-08-59,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/elastic/kibana,0.59,17,51,28-01-2022_10-11-47,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/emberjs/ember.js,0.64,11,47,28-01-2022_10-14-45,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/zloirock/core-js,0.49,8,41,28-01-2022_10-16-48,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,28-01-2022_10-18-50,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/sequelize/sequelize,0.53,12,40,28-01-2022_10-21-05,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/dcos/dcos-ui,0.86,9,37,28-01-2022_10-23-24,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/LivelyKernel/LivelyKernel,0.69,12,36,28-01-2022_10-25-17,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/svgdotjs/svg.js,0.71,5,31,28-01-2022_10-27-23,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/foam-framework/foam,0.42,13,33,28-01-2022_10-29-15,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,all,0.55,48,3374,28-01-2022_10-07-08,t5-large,/scratch/arminz/training/t5-large_global_repo-based-included_25-01-2022_13-37-25/checkpoint-266196/
normal,/data/all/data/qooxdoo/qooxdoo,0.52,18,115,12-04-2022_14-32-16,t5-large,/scratch/arminz//tmp/ft1_986_qooxdoo_0_1/best/
normal,/data/all/data/elastic/kibana,0.41,17,51,12-04-2022_14-42-40,t5-large,/scratch/arminz//tmp/ft1_825_kibana_0_1/best/
normal,/data/all/data/emberjs/ember.js,0.45,11,47,12-04-2022_14-53-14,t5-large,/scratch/arminz//tmp/ft1_177_ember.js_0_1/best/
normal,/data/all/data/zloirock/core-js,0.29,8,41,12-04-2022_15-03-03,t5-large,/scratch/arminz//tmp/ft1_228_core-js_0_1/best/
normal,/data/all/data/Encapsule-Annex/onm,0.49,1,39,12-04-2022_15-15-23,t5-large,/scratch/arminz//tmp/ft1_829_onm_0_1/best/
normal,/data/all/data/sequelize/sequelize,0.33,12,40,12-04-2022_15-23-52,t5-large,/scratch/arminz//tmp/ft1_717_sequelize_0_1/best/
normal,/data/all/data/dcos/dcos-ui,0.59,9,37,12-04-2022_15-33-41,t5-large,/scratch/arminz//tmp/ft1_975_dcos-ui_0_1/best/
normal,/data/all/data/LivelyKernel/LivelyKernel,0.56,12,36,12-04-2022_15-48-06,t5-large,/scratch/arminz//tmp/ft1_807_LivelyKernel_0_1/best/
normal,/data/all/data/svgdotjs/svg.js,0.10,5,31,12-04-2022_15-55-32,t5-large,/scratch/arminz//tmp/ft1_75_svg.js_0_1/best/
normal,/data/all/data/foam-framework/foam,0.30,13,33,12-04-2022_16-04-38,t5-large,/scratch/arminz//tmp/ft1_540_foam_0_1/best/
normal,/data/all/data/qooxdoo/qooxdoo,0.58,18,115,03-05-2022_18-27-15,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/qooxdoo/qooxdoo,repo-based-included
normal,all,0.45,52,3529,03-05-2022_18-30-06,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/qooxdoo/qooxdoo,source-test
normal,/data/all/data/zloirock/core-js,0.46,8,41,03-05-2022_19-27-24,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/zloirock/core-js,repo-based-included
normal,all,0.47,52,3529,03-05-2022_19-29-18,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/zloirock/core-js,source-test
normal,/data/all/data/emberjs/ember.js,0.60,11,47,03-05-2022_20-28-50,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/emberjs/ember.js,repo-based-included
normal,all,0.46,52,3529,03-05-2022_20-30-42,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/emberjs/ember.js,source-test
normal,/data/all/data/foam-framework/foam,0.42,13,33,03-05-2022_21-31-22,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/foam-framework/foam,repo-based-included
normal,all,0.46,52,3529,03-05-2022_21-33-27,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/foam-framework/foam,source-test
normal,/data/all/data/elastic/kibana,0.65,17,51,03-05-2022_22-33-02,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/elastic/kibana,repo-based-included
normal,all,0.47,52,3529,03-05-2022_22-35-20,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/elastic/kibana,source-test
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,03-05-2022_23-36-33,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/Encapsule-Annex/onm,repo-based-included
normal,all,0.46,52,3529,03-05-2022_23-39-06,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/Encapsule-Annex/onm,source-test
normal,/data/all/data/sequelize/sequelize,0.62,12,40,04-05-2022_00-45-12,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/sequelize/sequelize,repo-based-included
normal,all,0.46,52,3529,04-05-2022_00-47-27,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/sequelize/sequelize,source-test
normal,/data/all/data/dcos/dcos-ui,0.92,9,37,04-05-2022_01-45-53,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/dcos/dcos-ui,repo-based-included
normal,all,0.48,52,3529,04-05-2022_01-47-49,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/dcos/dcos-ui,source-test
normal,/data/all/data/LivelyKernel/LivelyKernel,0.67,12,36,04-05-2022_02-49-27,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/LivelyKernel/LivelyKernel,repo-based-included
normal,all,0.46,52,3529,04-05-2022_08-41-59,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/LivelyKernel/LivelyKernel,source-test
normal,/data/all/data/svgdotjs/svg.js,0.71,5,31,04-05-2022_09-39-57,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/svgdotjs/svg.js,repo-based-included
normal,all,0.48,52,3529,04-05-2022_09-41-33,t5-large,/scratch/arminz/tmp/finetuned//data/all/data/svgdotjs/svg.js,source-test
withAdapter,/data/all/data/qooxdoo/qooxdoo,0.63,18,115,06-05-2022_14-06-47,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.43,52,3529,06-05-2022_14-10-59,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/elastic/kibana,0.57,17,51,06-05-2022_15-13-21,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.44,52,3529,06-05-2022_15-16-57,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/emberjs/ember.js,0.60,11,47,06-05-2022_16-21-56,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.44,52,3529,06-05-2022_16-25-30,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/zloirock/core-js,0.51,8,41,06-05-2022_17-29-38,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.45,52,3529,06-05-2022_17-32-28,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/Encapsule-Annex/onm,1.00,1,39,06-05-2022_18-38-27,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.47,52,3529,06-05-2022_18-41-41,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/sequelize/sequelize,0.60,12,40,06-05-2022_19-51-29,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.44,52,3529,06-05-2022_19-55-14,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/dcos/dcos-ui,0.89,9,37,06-05-2022_21-01-23,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.45,52,3529,06-05-2022_21-04-32,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/LivelyKernel/LivelyKernel,0.67,12,36,06-05-2022_22-10-38,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.43,52,3529,06-05-2022_22-13-52,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/svgdotjs/svg.js,0.84,5,31,06-05-2022_23-21-00,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.40,52,3529,06-05-2022_23-24-03,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
withAdapter,/data/all/data/foam-framework/foam,0.39,13,33,07-05-2022_00-34-43,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.44,52,3529,07-05-2022_00-37-51,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
normal,/data/all/data/qooxdoo/qooxdoo,0.52,18,115,22-04-2022_15-23-38,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/qooxdoo/qooxdoo_0_1,repo-based-included
normal,all,0.77,32,1746,22-04-2022_15-26-36,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/qooxdoo/qooxdoo_0_1,source-test
normal,/data/all/data/elastic/kibana,0.45,17,51,22-04-2022_15-52-08,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/elastic/kibana_0_1,repo-based-included
normal,all,0.85,32,1746,22-04-2022_15-54-18,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/elastic/kibana_0_1,source-test
normal,/data/all/data/emberjs/ember.js,0.49,11,47,22-04-2022_16-19-36,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/emberjs/ember.js_0_1,repo-based-included
normal,all,0.84,32,1746,22-04-2022_16-21-19,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/emberjs/ember.js_0_1,source-test
normal,/data/all/data/zloirock/core-js,0.29,8,41,22-04-2022_16-46-39,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/zloirock/core-js_0_1,repo-based-included
normal,all,0.80,32,1746,22-04-2022_16-48-27,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/zloirock/core-js_0_1,source-test
normal,/data/all/data/Encapsule-Annex/onm,0.79,1,39,22-04-2022_17-11-50,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/Encapsule-Annex/onm_0_1,repo-based-included
normal,all,0.89,32,1746,22-04-2022_17-13-16,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/Encapsule-Annex/onm_0_1,source-test
normal,/data/all/data/sequelize/sequelize,0.30,12,40,22-04-2022_17-38-58,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/sequelize/sequelize_0_1,repo-based-included
normal,all,0.85,32,1746,22-04-2022_17-40-56,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/sequelize/sequelize_0_1,source-test
normal,/data/all/data/dcos/dcos-ui,0.73,9,37,22-04-2022_18-05-40,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/dcos/dcos-ui_0_1,repo-based-included
normal,all,0.88,32,1746,22-04-2022_18-07-11,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/dcos/dcos-ui_0_1,source-test
normal,/data/all/data/LivelyKernel/LivelyKernel,0.56,12,36,22-04-2022_18-32-37,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/LivelyKernel/LivelyKernel_0_1,repo-based-included
normal,all,0.83,32,1746,22-04-2022_18-34-26,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/LivelyKernel/LivelyKernel_0_1,source-test
normal,/data/all/data/svgdotjs/svg.js,0.10,5,31,22-04-2022_18-58-59,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/svgdotjs/svg.js_0_1,repo-based-included
normal,all,0.88,32,1746,22-04-2022_19-00-27,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/svgdotjs/svg.js_0_1,source-test
normal,/data/all/data/foam-framework/foam,0.30,13,33,22-04-2022_19-27-15,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/foam-framework/foam_0_1,repo-based-included
normal,all,0.82,32,1746,25-04-2022_11-22-00,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/foam-framework/foam_0_1,source-test
normal,/data/all/data/qooxdoo/qooxdoo,0.47,18,115,31-05-2022_05-06-52,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_conf,repo-based-included,2022-05-31 05:06:52.754846, 2022-05-31 05:07:41.954338, 2022-05-31 05:09:14.858397, 2022-05-31 05:09:14.860938
normal,all,0.48,52,3529,31-05-2022_05-09-40,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_conf,source-test,2022-05-31 05:09:40.772989, 2022-05-31 05:14:04.615348, 2022-05-31 05:48:45.798281, 2022-05-31 05:48:45.800263
normal,/data/all/data/zloirock/core-js,0.37,8,41,31-05-2022_05-53-11,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_conf,repo-based-included,2022-05-31 05:53:11.797748, 2022-05-31 05:54:00.197635, 2022-05-31 05:54:38.275982, 2022-05-31 05:54:38.280757
normal,all,0.47,52,3529,31-05-2022_05-55-08,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_conf,source-test,2022-05-31 05:55:08.790944, 2022-05-31 05:59:06.690278, 2022-05-31 06:33:57.398699, 2022-05-31 06:33:57.401387
normal,/data/all/data/emberjs/ember.js,0.53,11,47,31-05-2022_06-37-45,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_conf,repo-based-included,2022-05-31 06:37:45.523219, 2022-05-31 06:38:32.965291, 2022-05-31 06:39:21.888235, 2022-05-31 06:39:21.890202
normal,all,0.48,52,3529,31-05-2022_06-39-48,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_conf,source-test,2022-05-31 06:39:48.391311, 2022-05-31 06:43:53.499411, 2022-05-31 07:18:41.763554, 2022-05-31 07:18:41.765808
normal,/data/all/data/foam-framework/foam,0.39,13,33,31-05-2022_07-22-43,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_conf,repo-based-included,2022-05-31 07:22:43.224391, 2022-05-31 07:23:58.234560, 2022-05-31 07:24:44.779488, 2022-05-31 07:24:44.781574
normal,all,0.48,52,3529,31-05-2022_07-25-21,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_conf,source-test,2022-05-31 07:25:21.475609, 2022-05-31 07:29:21.237666, 2022-05-31 08:04:46.143442, 2022-05-31 08:04:46.147994
normal,/data/all/data/elastic/kibana,0.49,17,51,31-05-2022_08-09-11,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_conf,repo-based-included,2022-05-31 08:09:11.542046, 2022-05-31 08:10:00.361717, 2022-05-31 08:10:57.890219, 2022-05-31 08:10:57.893063
normal,all,0.47,52,3529,31-05-2022_08-11-31,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_conf,source-test,2022-05-31 08:11:31.368092, 2022-05-31 08:15:44.879641, 2022-05-31 08:50:42.128078, 2022-05-31 08:50:42.143069
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,31-05-2022_08-55-09,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_conf,repo-based-included,2022-05-31 08:55:09.125504, 2022-05-31 08:55:58.293819, 2022-05-31 08:56:22.571735, 2022-05-31 08:56:22.574102
normal,all,0.48,52,3529,31-05-2022_08-56-57,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_conf,source-test,2022-05-31 08:56:57.426678, 2022-05-31 09:01:22.919475, 2022-05-31 09:36:27.951088, 2022-05-31 09:36:27.953664
normal,/data/all/data/sequelize/sequelize,0.53,12,40,31-05-2022_09-41-40,t5-large,/scratch/arminz/tmp/currl_/data/all/data/sequelize/sequelize_conf,repo-based-included,2022-05-31 09:41:40.743510, 2022-05-31 09:42:29.000756, 2022-05-31 09:43:20.582864, 2022-05-31 09:43:20.585058
